-----------------------------------------------------------
Server listening on 9002 (test #1)
-----------------------------------------------------------
Accepted connection from 10.113.0.2, port 45877
[  6] local 10.113.0.1 port 9002 connected to 10.113.0.2 port 41236
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6] 137.00-138.00 sec   119 KBytes   973 Kbits/sec  0.240 ms  1286/1370 (94%)  
[  6] 138.00-139.00 sec   120 KBytes   985 Kbits/sec  0.177 ms  1302/1387 (94%)  
[  6] 139.00-140.00 sec   120 KBytes   984 Kbits/sec  0.671 ms  1301/1386 (94%)  
[  6] 140.00-141.00 sec   119 KBytes   973 Kbits/sec  0.224 ms  1286/1370 (94%)  
[  6] 141.00-142.00 sec   120 KBytes   985 Kbits/sec  0.247 ms  1301/1386 (94%)  
[  6] 142.00-143.00 sec   120 KBytes   985 Kbits/sec  0.335 ms  1301/1386 (94%)  
[  6] 143.00-144.00 sec   120 KBytes   985 Kbits/sec  0.204 ms  1301/1386 (94%)  
[  6] 144.00-145.00 sec   119 KBytes   973 Kbits/sec  0.214 ms  1287/1371 (94%)  
[  6] 145.00-146.00 sec   120 KBytes   985 Kbits/sec  0.375 ms  1301/1386 (94%)  
[  6] 146.00-147.00 sec   120 KBytes   985 Kbits/sec  0.377 ms  1303/1388 (94%)  
[  6] 147.00-148.00 sec   119 KBytes   973 Kbits/sec  0.252 ms  1284/1368 (94%)  
[  6] 148.00-149.00 sec   120 KBytes   985 Kbits/sec  0.140 ms  1302/1387 (94%)  
[  6] 149.00-150.00 sec   120 KBytes   985 Kbits/sec  0.921 ms  1301/1386 (94%)  
[  6] 150.00-151.00 sec   119 KBytes   973 Kbits/sec  0.327 ms  1285/1369 (94%)  
[  6] 151.00-152.00 sec   120 KBytes   985 Kbits/sec  0.382 ms  1303/1388 (94%)  
[  6] 152.00-153.00 sec   120 KBytes   985 Kbits/sec  0.462 ms  1301/1386 (94%)  
[  6] 153.00-154.00 sec   119 KBytes   973 Kbits/sec  0.170 ms  1285/1369 (94%)  
[  6] 154.00-155.00 sec   120 KBytes   985 Kbits/sec  0.420 ms  1303/1388 (94%)  
[  6] 155.00-156.00 sec   120 KBytes   985 Kbits/sec  0.342 ms  1302/1387 (94%)  
[  6] 156.00-157.00 sec   119 KBytes   973 Kbits/sec  0.696 ms  1286/1370 (94%)  
[  6] 157.00-158.00 sec   120 KBytes   985 Kbits/sec  0.235 ms  1299/1384 (94%)  
[  6] 158.00-159.00 sec   120 KBytes   985 Kbits/sec  0.186 ms  1300/1385 (94%)  
[  6] 159.00-160.00 sec   119 KBytes   973 Kbits/sec  1.019 ms  1288/1372 (94%)  
[  6] 160.00-161.00 sec   120 KBytes   984 Kbits/sec  0.354 ms  1300/1385 (94%)  
[  6] 161.00-162.00 sec   120 KBytes   985 Kbits/sec  0.408 ms  1304/1389 (94%)  
[  6] 162.00-163.00 sec   119 KBytes   973 Kbits/sec  0.297 ms  1286/1370 (94%)  
[  6] 163.00-164.00 sec   120 KBytes   985 Kbits/sec  0.463 ms  1301/1386 (94%)  
[  6] 164.00-165.00 sec   120 KBytes   982 Kbits/sec  0.398 ms  1301/1386 (94%)  
[  6] 165.00-166.00 sec   120 KBytes   987 Kbits/sec  0.270 ms  1300/1385 (94%)  
[  6] 166.00-167.00 sec   119 KBytes   973 Kbits/sec  0.281 ms  1288/1372 (94%)  
[  6] 167.00-168.00 sec   120 KBytes   985 Kbits/sec  0.341 ms  1299/1384 (94%)  
[  6] 168.00-169.00 sec   120 KBytes   985 Kbits/sec  0.205 ms  1302/1387 (94%)  
[  6] 169.00-170.00 sec   119 KBytes   973 Kbits/sec  1.366 ms  1285/1369 (94%)  
[  6] 170.00-171.00 sec   120 KBytes   985 Kbits/sec  0.305 ms  1302/1387 (94%)  
[  6] 171.00-172.00 sec   120 KBytes   985 Kbits/sec  0.215 ms  1303/1388 (94%)  
[  6] 172.00-173.00 sec   119 KBytes   973 Kbits/sec  0.245 ms  1284/1368 (94%)  
[  6] 173.00-174.00 sec   120 KBytes   985 Kbits/sec  0.187 ms  1303/1388 (94%)  
[  6] 174.00-175.00 sec   120 KBytes   985 Kbits/sec  0.433 ms  1302/1387 (94%)  
[  6] 175.00-176.00 sec   120 KBytes   984 Kbits/sec  0.280 ms  1300/1385 (94%)  
[  6] 176.00-177.00 sec   119 KBytes   973 Kbits/sec  0.377 ms  1287/1371 (94%)  
